Server;Sets ;Games ;Points ;Description
Rafael Nadal  ;1?0;0?3;40?15;"1st serve down the T, fault (long). 2nd serve down the T; forehand return down the middle (long), unforced error."
;;;;
Roger Federer  ;0?1;3?1;0?0;1st serve down the T, service winner.
Roger Federer  ;0?1;3?1;15?0;1st serve wide, ace.
Roger Federer  ;0?1;3?1;30?0;1st serve down the T, ace.
Roger Federer  ;0?1;3?1;40?0;"1st serve wide, fault (long). 2nd serve wide; forehand return crosscourt (shallow); backhand slice down the line; backhand down the line; backhand slice approach shot down the line; backhand down the line (net), unforced error. (5-shot rally)"
;;;;
Rafael Nadal  ;1?0;1?4;0?0;"1st serve down the T, fault (long). 2nd serve down the T; forehand return down the middle (long), unforced error."
Rafael Nadal  ;1?0;1?4;15?0;"1st serve wide; backhand return down the middle (deep); backhand slice down the middle; forehand inside-out, winner. (4-shot rally)"
Rafael Nadal  ;1?0;1?4;15?15;"1st serve down the T; backhand return down the middle, forced error."
Rafael Nadal  ;1?0;1?4;30?15;"1st serve down the T; forehand return down the middle (deep); forehand crosscourt; backhand down the middle; forehand down the middle; forehand inside-out; forehand crosscourt; backhand slice down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand drop shot down the line; forehand at net inside-in; backhand lob crosscourt; smash crosscourt, winner. (15-shot rally)"
Rafael Nadal  ;1?0;1?4;40?15;"1st serve wide, fault (wide). 2nd serve down the T; backhand return down the middle (deep); forehand inside-out (wide), unforced error."
Rafael Nadal  ;1?0;1?4;40?30;"1st serve wide; backhand slice return down the middle (very deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the middle, forced error. (5-shot rally)"
;;;;
Roger Federer  ;0?1;4?2;0?0;"1st serve down the T, fault (net). 2nd serve wide; backhand return down the middle (very deep); forehand down the middle, forced error."
Roger Federer  ;0?1;4?2;0?15;"1st serve wide; forehand return down the middle (shallow); forehand crosscourt, winner."
Roger Federer  ;0?1;4?2;15?15;"1st serve wide; backhand return down the middle (deep); forehand approach shot inside-out; forehand down the line; forehand volley, forced error. (4-shot rally)"
